category,value,count
total,all,4155
company,Amazon,392
company,Apple,572
company,Google,637
company,Meta,641
company,Microsoft,536
company,NVIDIA,733
company,Tesla,644
section,Front Matter,124
section,Item 1,249
section,Item 10,29
section,Item 11,16
section,Item 12,16
section,Item 13,16
section,Item 14,19
section,Item 15,671
section,Item 16,374
section,Item 1A,600
section,Item 1B,15
section,Item 1C,38
section,Item 2,27
section,Item 3,84
section,Item 4,42
section,Item 5,51
section,Item 6,18
section,Item 7,429
section,Item 7A,61
section,Item 8,1118
section,Item 9,15
section,Item 9A,57
section,Item 9B,66
section,Item 9C,20
source_type,local_context,15
source_type,narrative,2457
source_type,table_row,1544
source_type,table_summary,139
retrievable,False,1797
retrievable,True,2358
average_token_count,all,139.21
