category,value,count
total,all,4379
chunk_config,fixed_128,4379
company,Amazon,464
company,Apple,440
company,Google,551
company,Meta,847
company,Microsoft,514
company,NVIDIA,809
company,Tesla,754
section,Mixed,4379
source_type,fixed,4379
non_retrievable_reason,exhibit_list,1
non_retrievable_reason,forward_looking_boilerplate,22
non_retrievable_reason,header_footer,104
non_retrievable_reason,table_of_contents,537
non_retrievable_reason,unknown,3715
retrievable,False,664
retrievable,True,3715
average_token_count,all,127.92
