chunk_config,failure_type,count
fixed_128,none,61
fixed_128,wrong_section,47
fixed_256,none,49
fixed_256,wrong_section,59
fixed_512,none,39
fixed_512,wrong_section,69
section_180,answer_split_across_chunks,5
section_180,none,26
section_180,wrong_section,77
table_aware_clean,none,43
table_aware_clean,wrong_section,65
table_aware_clean_context,none,43
table_aware_clean_context,wrong_section,65
table_aware_mixed,none,43
table_aware_mixed,wrong_section,65
table_row_only,retrieval_miss,16
table_row_only,wrong_section,92
