system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline,chunk_config
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.4042161978884703,0.0,0.5294911508896837,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,fixed_128
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.9904762235366636,0.0,1.2481792587614446,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,fixed_128
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.2190817706459374,0.0127564206098516,0.2936071001545147,256.0,5.861111111111111,7.533473628538626,2424.7017502504946,0.3611111111111111,0.5648148148148148,0.5648148148148148,1.0,1.0,0.0,,313.7731500629061,fixed_128
random_context_gpt,108,0.0,0.0066804925548105,0.0,0.0,,,,0.3359863001301332,0.0,0.3799238324648252,256.0,7.888888888888889,7.495183083746168,2301.8129106872,0.0,0.0,0.0,0.3888888888888889,0.3888888888888889,0.0,,190.88431049961173,fixed_128
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.466191860553981,0.0,0.5307284320049264,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,fixed_256
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.8830504015226055,0.0,0.9586790087115432,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,fixed_256
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.2218605081067869,0.0108319013207047,0.3600932963330436,256.0,4.12962962962963,7.541027245698152,2427.1521510381735,0.2592592592592592,0.4444444444444444,0.4537037037037037,1.0,1.0,0.0,,316.22355085058507,fixed_256
random_context_gpt,108,0.0,0.0047145665687513,0.0,0.0,,,,0.3631946541265481,0.0,0.4441891302596087,256.0,6.361111111111111,7.507687732025429,2308.9091040547924,0.0,0.0,0.0,0.3981481481481481,0.3981481481481481,0.0,,197.98050386720388,fixed_256
baseline_gpt,108,0.0,0.0095470873488536,0.0,0.0,,,,0.4357589853030664,0.0,0.5095095241235362,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0,fixed_512
oracle_gpt,108,0.0,0.015534651432913,0.0,0.0,,,,0.8494853967697256,0.0,0.9202524232678116,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798,fixed_512
